se,g,l,a,p,d,v
3.6989795918,60620,zip,HDSZR,,2012,93.1
4.6173469388,60626,zip,HDSZR,,2012,101.2
3.2142857143,60628,zip,HDSZR,,2012,68.0
1.6836734694,60629,zip,HDSZR,,2012,29.3
1.4795918367,60630,zip,HDSZR,,2012,12.3
1.5306122449,60631,zip,HDSZR,,2012,7.8
11.173469388,60633,zip,HDSZR,,2012,160.9
1.1989795918,60634,zip,HDSZR,,2012,11.1
4.1071428571,60637,zip,HDSZR,,2012,73.8
1.3010204082,60638,zip,HDSZR,,2012,9.7
1.9132653061,60639,zip,HDSZR,,2012,28.3
4.6428571429,60640,zip,HDSZR,,2012,151.6
2.8571428571,60643,zip,HDSZR,,2012,36.7
5.9183673469,60644,zip,HDSZR,,2012,160.7
3.0867346939,60645,zip,HDSZR,,2012,43.4
2.1428571429,60646,zip,HDSZR,,2012,11.1
4.9489795918,60649,zip,HDSZR,,2012,113.9
3.2908163265,60651,zip,HDSZR,,2012,63.4
2.1683673469,60652,zip,HDSZR,,2012,18.9
5.8673469388,60653,zip,HDSZR,,2012,102.2
1.8367346939,60655,zip,HDSZR,,2012,9.3
1.7346938776,60656,zip,HDSZR,,2012,8.8
2.5765306122,60657,zip,HDSZR,,2012,29.5
2.5255102041,60659,zip,HDSZR,,2012,24.5
3.8265306122,60660,zip,HDSZR,,2012,67.0
1.6836734694,60707,zip,HDSZR,,2012,12.8
3.8265306122,60827,zip,HDSZR,,2012,36.7
0.4081632653,1714000,place,HDSZR,,2012,48.6
3.8775510204,60601,zip,HDSZR,,2011,14.3
51.505102041,60602,zip,HDSZR,,2011,166.6
6.6581632653,60607,zip,HDSZR,,2011,73.5
1.887755102,60608,zip,HDSZR,,2011,27.9
2.8316326531,60609,zip,HDSZR,,2011,47.9
5.5612244898,60612,zip,HDSZR,,2011,97.4
3.5204081633,60616,zip,HDSZR,,2011,58.1
1.4030612245,60618,zip,HDSZR,,2011,16.4
3.5459183673,60619,zip,HDSZR,,2011,73.3
6.7091836735,60621,zip,HDSZR,,2011,140.2
4.0306122449,60622,zip,HDSZR,,2011,60.4
3.6479591837,60623,zip,HDSZR,,2011,107.9
5.1530612245,60624,zip,HDSZR,,2011,94.0
2.5510204082,60625,zip,HDSZR,,2011,48.2
1.2244897959,60632,zip,HDSZR,,2011,12.2
