,se,g,l,a,p,d,v
45,7.0,1714000-5,neighborhood,VRALR,,2014-2018,7.6
46,9.1,1714000-50,neighborhood,VRALR,,2014-2018,5.2
47,12.4,1714000-51,neighborhood,VRALR,,2014-2018,13.2
48,6.1,1714000-52,neighborhood,VRALR,,2014-2018,5.9
49,6.9,1714000-53,neighborhood,VRALR,,2014-2018,7.8
50,17.8,1714000-54,neighborhood,VRALR,,2014-2018,15.0
51,11.6,1714000-55,neighborhood,VRALR,,2014-2018,9.0
52,8.1,1714000-56,neighborhood,VRALR,,2014-2018,11.7
53,13.2,1714000-57,neighborhood,VRALR,,2014-2018,12.5
54,7.2,1714000-58,neighborhood,VRALR,,2014-2018,10.9
55,8.3,1714000-59,neighborhood,VRALR,,2014-2018,7.5
56,3.7,1714000-6,neighborhood,VRALR,,2014-2018,5.9
57,6.9,1714000-60,neighborhood,VRALR,,2014-2018,7.6
58,6.5,1714000-61,neighborhood,VRALR,,2014-2018,11.1
59,8.9,1714000-62,neighborhood,VRALR,,2014-2018,7.7
60,8.1,1714000-63,neighborhood,VRALR,,2014-2018,12.2
61,9.3,1714000-64,neighborhood,VRALR,,2014-2018,12.9
62,7.5,1714000-65,neighborhood,VRALR,,2014-2018,9.0
63,6.5,1714000-66,neighborhood,VRALR,,2014-2018,10.7
64,7.4,1714000-67,neighborhood,VRALR,,2014-2018,9.2
65,6.9,1714000-68,neighborhood,VRALR,,2014-2018,8.5
66,6.8,1714000-69,neighborhood,VRALR,,2014-2018,7.6
67,5.6,1714000-7,neighborhood,VRALR,,2014-2018,10.2
68,5.2,1714000-70,neighborhood,VRALR,,2014-2018,6.0
69,4.1,1714000-71,neighborhood,VRALR,,2014-2018,6.1
70,7.3,1714000-72,neighborhood,VRALR,,2014-2018,6.1
71,6.7,1714000-73,neighborhood,VRALR,,2014-2018,7.2
72,6.7,1714000-74,neighborhood,VRALR,,2014-2018,6.2
73,5.4,1714000-75,neighborhood,VRALR,,2014-2018,6.2
