se,g,l,a,p,d,v
1.3520408163,60646,zip,HDDRR,,2013,4.2
3.0357142857,60649,zip,HDDRR,,2013,47.7
3.75,60651,zip,HDDRR,,2013,81.0
1.6326530612,60652,zip,HDDRR,,2013,11.2
3.9795918367,60653,zip,HDDRR,,2013,48.7
1.6836734694,60655,zip,HDDRR,,2013,8.2
1.862244898,60656,zip,HDDRR,,2013,8.9
1.4540816327,60657,zip,HDDRR,,2013,10.0
1.4795918367,60659,zip,HDDRR,,2013,8.3
2.0918367347,60660,zip,HDDRR,,2013,20.4
1.8367346939,60707,zip,HDDRR,,2013,14.8
2.5,60827,zip,HDDRR,,2013,17.7
0.3316326531,1714000,place,HDDRR,,2013,29.9
109.77040816,60604,zip,HDDRR,,2012,646.5
17.576530612,60606,zip,HDDRR,,2012,59.0
3.4948979592,60607,zip,HDDRR,,2012,23.6
1.862244898,60608,zip,HDDRR,,2012,26.3
3.1887755102,60609,zip,HDDRR,,2012,54.7
8.137755102,60612,zip,HDDRR,,2012,196.1
2.2959183673,60616,zip,HDDRR,,2012,26.0
1.6836734694,60618,zip,HDDRR,,2012,22.3
3.75,60619,zip,HDDRR,,2012,94.6
7.5,60621,zip,HDDRR,,2012,189.9
5.1275510204,60622,zip,HDDRR,,2012,97.0
3.2397959184,60623,zip,HDDRR,,2012,78.6
10.306122449,60624,zip,HDDRR,,2012,369.1
0.9948979592,60625,zip,HDDRR,,2012,7.8
0.8418367347,60632,zip,HDDRR,,2012,6.0
7.0918367347,60636,zip,HDDRR,,2012,184.5
1.3775510204,60641,zip,HDDRR,,2012,14.7
4.0816326531,60642,zip,HDDRR,,2012,24.1
2.5,60647,zip,HDDRR,,2012,44.3
4.6428571429,60654,zip,HDDRR,,2012,29.6
4.2346938776,60605,zip,HDDRR,,2012,36.8
3.3418367347,60610,zip,HDDRR,,2012,42.0
2.6020408163,60611,zip,HDDRR,,2012,6.3
2.4489795918,60613,zip,HDDRR,,2012,22.8
1.5306122449,60614,zip,HDDRR,,2012,12.4
4.9744897959,60615,zip,HDDRR,,2012,91.5
2.4744897959,60617,zip,HDDRR,,2012,47.0
3.0867346939,60620,zip,HDDRR,,2012,68.1
2.0408163265,60626,zip,HDDRR,,2012,21.6
3.2142857143,60628,zip,HDDRR,,2012,75.0
1.9387755102,60629,zip,HDDRR,,2012,36.4
1.1734693878,60630,zip,HDDRR,,2012,7.5
2.6020408163,60631,zip,HDDRR,,2012,16.9
1.3265306122,60634,zip,HDDRR,,2012,12.6
5.9948979592,60637,zip,HDDRR,,2012,158.4
1.7602040816,60638,zip,HDDRR,,2012,16.8
2.193877551,60639,zip,HDDRR,,2012,37.6
2.6020408163,60640,zip,HDDRR,,2012,46.2
2.3724489796,60643,zip,HDDRR,,2012,28.9
7.7295918367,60644,zip,HDDRR,,2012,276.4
1.5051020408,60645,zip,HDDRR,,2012,10.9
1.6326530612,60646,zip,HDDRR,,2012,6.3
5.0765306122,60649,zip,HDDRR,,2012,131.3
5.1785714286,60651,zip,HDDRR,,2012,152.6
2.1428571429,60652,zip,HDDRR,,2012,20.0
7.4234693878,60653,zip,HDDRR,,2012,167.7
2.0408163265,60655,zip,HDDRR,,2012,11.5
2.0153061224,60656,zip,HDDRR,,2012,10.7
0.9948979592,60657,zip,HDDRR,,2012,5.1
2.193877551,60659,zip,HDDRR,,2012,18.6
2.2704081633,60660,zip,HDDRR,,2012,23.3
2.193877551,60707,zip,HDDRR,,2012,21.0
3.5714285714,60827,zip,HDDRR,,2012,30.9
0.4591836735,1714000,place,HDDRR,,2012,57.5
2.9081632653,60601,zip,HDDRR,,2011,9.7
114.3622449,60604,zip,HDDRR,,2011,687.6
20.178571429,60606,zip,HDDRR,,2011,73.6
3.7244897959,60607,zip,HDDRR,,2011,25.6
2.0663265306,60608,zip,HDDRR,,2011,31.6
3.6224489796,60609,zip,HDDRR,,2011,70.6
9.0306122449,60612,zip,HDDRR,,2011,243.9
2.3724489796,60616,zip,HDDRR,,2011,27.6
1.5306122449,60618,zip,HDDRR,,2011,20.1
4.6683673469,60619,zip,HDDRR,,2011,135.4
10.051020408,60621,zip,HDDRR,,2011,309.3
5.2040816327,60622,zip,HDDRR,,2011,100.6
3.7244897959,60623,zip,HDDRR,,2011,105.2
12.142857143,60624,zip,HDDRR,,2011,500.9
1.3010204082,60625,zip,HDDRR,,2011,13.4
0.8418367347,60632,zip,HDDRR,,2011,6.1
8.5204081633,60636,zip,HDDRR,,2011,262.8
1.5816326531,60641,zip,HDDRR,,2011,18.6
2.6785714286,60642,zip,HDDRR,,2011,11.2
3.3163265306,60647,zip,HDDRR,,2011,80.1
5.0765306122,60654,zip,HDDRR,,2011,28.7
4.7704081633,60605,zip,HDDRR,,2011,46.2
4.1836734694,60610,zip,HDDRR,,2011,64.5
1.3265306122,60611,zip,HDDRR,,2011,5.1
2.2704081633,60613,zip,HDDRR,,2011,21.3
2.0918367347,60614,zip,HDDRR,,2011,22.0
5.8418367347,60615,zip,HDDRR,,2011,121.8
2.9846938776,60617,zip,HDDRR,,2011,68.9
3.9030612245,60620,zip,HDDRR,,2011,103.7
1.8112244898,60626,zip,HDDRR,,2011,17.0
4.056122449,60628,zip,HDDRR,,2011,116.0
2.3469387755,60629,zip,HDDRR,,2011,53.6
1.25,60630,zip,HDDRR,,2011,8.0
3.2908163265,60631,zip,HDDRR,,2011,25.9
1.3265306122,60634,zip,HDDRR,,2011,13.6
7.8826530612,60637,zip,HDDRR,,2011,272.9
2.2704081633,60638,zip,HDDRR,,2011,27.8
2.5765306122,60639,zip,HDDRR,,2011,53.1
3.0612244898,60640,zip,HDDRR,,2011,65.5
2.7806122449,60643,zip,HDDRR,,2011,41.2
8.6224489796,60644,zip,HDDRR,,2011,340.6
2.5510204082,60645,zip,HDDRR,,2011,27.8
1.5051020408,60646,zip,HDDRR,,2011,4.8
5.6632653061,60649,zip,HDDRR,,2011,166.0
5.943877551,60651,zip,HDDRR,,2011,200.3
2.7551020408,60652,zip,HDDRR,,2011,33.0
9.056122449,60653,zip,HDDRR,,2011,249.1
1.8367346939,60655,zip,HDDRR,,2011,9.1
1.7857142857,60656,zip,HDDRR,,2011,8.1
1.1989795918,60657,zip,HDDRR,,2011,7.7
2.0663265306,60659,zip,HDDRR,,2011,16.4
2.8316326531,60660,zip,HDDRR,,2011,36.8
2.1173469388,60707,zip,HDDRR,,2011,18.9
4.5918367347,60827,zip,HDDRR,,2011,50.7
0.5357142857,1714000,place,HDDRR,,2011,78.6
165.94387755,60604,zip,HDDRR,,2010,1475.8
18.214285714,60606,zip,HDDRR,,2010,64.1
3.5969387755,60607,zip,HDDRR,,2010,24.1
2.0408163265,60608,zip,HDDRR,,2010,31.1
3.443877551,60609,zip,HDDRR,,2010,65.0
10.12755102,60612,zip,HDDRR,,2010,302.5
2.7806122449,60616,zip,HDDRR,,2010,37.3
1.4285714286,60618,zip,HDDRR,,2010,17.3
4.6683673469,60619,zip,HDDRR,,2010,129.1
10.306122449,60621,zip,HDDRR,,2010,307.0
5.4846938776,60622,zip,HDDRR,,2010,112.4
3.4948979592,60623,zip,HDDRR,,2010,91.1
11.785714286,60624,zip,HDDRR,,2010,456.5
1.4540816327,60625,zip,HDDRR,,2010,17.0
0.7908163265,60632,zip,HDDRR,,2010,4.7
8.8265306122,60636,zip,HDDRR,,2010,269.5
1.6836734694,60641,zip,HDDRR,,2010,21.4
2.193877551,60642,zip,HDDRR,,2010,8.3
3.0357142857,60647,zip,HDDRR,,2010,68.6
3.3163265306,60654,zip,HDDRR,,2010,14.2
4.7959183673,60605,zip,HDDRR,,2010,46.6
3.9030612245,60610,zip,HDDRR,,2010,54.1
1.4795918367,60611,zip,HDDRR,,2010,5.5
1.8367346939,60613,zip,HDDRR,,2010,14.1
2.0918367347,60614,zip,HDDRR,,2010,21.4
5.5867346939,60615,zip,HDDRR,,2010,110.3
2.6020408163,60617,zip,HDDRR,,2010,54.6
3.2142857143,60620,zip,HDDRR,,2010,72.7
2.1173469388,60626,zip,HDDRR,,2010,23.3
4.1071428571,60628,zip,HDDRR,,2010,120.6
2.2959183673,60629,zip,HDDRR,,2010,51.4
1.2755102041,60630,zip,HDDRR,,2010,9.0
3.2142857143,60631,zip,HDDRR,,2010,26.6
1.3265306122,60634,zip,HDDRR,,2010,12.7
8.2908163265,60637,zip,HDDRR,,2010,289.8
1.862244898,60638,zip,HDDRR,,2010,18.0
2.8316326531,60639,zip,HDDRR,,2010,65.8
2.6530612245,60640,zip,HDDRR,,2010,51.0
2.5255102041,60643,zip,HDDRR,,2010,34.7
9.2857142857,60644,zip,HDDRR,,2010,376.7
2.806122449,60645,zip,HDDRR,,2010,33.5
1.5051020408,60646,zip,HDDRR,,2010,5.3
5.3316326531,60649,zip,HDDRR,,2010,143.3
5.6887755102,60651,zip,HDDRR,,2010,185.2
2.806122449,60652,zip,HDDRR,,2010,34.6
9.4132653061,60653,zip,HDDRR,,2010,264.0
1.4285714286,60655,zip,HDDRR,,2010,5.5
1.7091836735,60656,zip,HDDRR,,2010,9.1
1.3775510204,60657,zip,HDDRR,,2010,9.7
2.4489795918,60659,zip,HDDRR,,2010,20.7
3.2908163265,60660,zip,HDDRR,,2010,48.0
2.2448979592,60707,zip,HDDRR,,2010,21.5
4.0051020408,60827,zip,HDDRR,,2010,42.5
0.5357142857,1714000,place,HDDRR,,2010,76.4
0.3826530612,1714000,place,HDDRR,F,2017,18.8
0.4081632653,1714000,place,HDDRR,F,2016,23.0
0.4336734694,1714000,place,HDDRR,F,2014,25.0
0.4081632653,1714000,place,HDDRR,F,2013,21.5
0.5612244898,1714000,place,HDDRR,F,2012,39.9
0.6632653061,1714000,place,HDDRR,F,2011,52.9
0.637755102,1714000,place,HDDRR,F,2010,51.9
0.612244898,1714000,place,HDDRR,M,2017,46.6
0.637755102,1714000,place,HDDRR,M,2016,52.9
0.637755102,1714000,place,HDDRR,M,2014,50.3
0.5612244898,1714000,place,HDDRR,M,2013,39.1
0.7908163265,1714000,place,HDDRR,M,2012,76.9
0.9183673469,1714000,place,HDDRR,M,2011,106.4
0.9183673469,1714000,place,HDDRR,M,2010,102.8
0.3316326531,1714000,place,HDDRR,W,2017,9.4
0.3571428571,1714000,place,HDDRR,W,2016,10.8
0.3571428571,1714000,place,HDDRR,W,2014,11.3
0.3316326531,1714000,place,HDDRR,W,2013,9.3
0.3571428571,1714000,place,HDDRR,W,2012,11.4
0.3826530612,1714000,place,HDDRR,W,2011,12.6
0.3571428571,1714000,place,HDDRR,W,2010,11.6
0.8418367347,1714000,place,HDDRR,B,2017,65.3
0.9183673469,1714000,place,HDDRR,B,2016,76.8
0.9183673469,1714000,place,HDDRR,B,2014,74.0
0.8163265306,1714000,place,HDDRR,B,2013,61.6
1.25,1714000,place,HDDRR,B,2012,134.5
1.5051020408,1714000,place,HDDRR,B,2011,194.8
1.5051020408,1714000,place,HDDRR,B,2010,191.2
0.9948979592,1714000,place,HDDRR,AP,2017,14.6
